protid,DEFLINE,NN1,NN2,NN3,ON1,ON2,ON3,NO1,NO2,NO3,OO1,OO2,OO3
m.22391,Myotrophin OS=Xenopus tropicalis GN=mtpn PE=3 SV=1,1,2,4,5,1,1,0,0,1,0,0,0
m.22392,m.22392,60,48,34,47,51,51,45,22,22,50,52,50
m.22405,Sticholysin-1 OS=Stoichactis helianthus PE=1 SV=1,8,0,34,25,2,17,5,5,3,2,1,2
m.2241,Heterogeneous nuclear ribonucleoprotein K OS=Gallus gallus GN=HNRNPK PE=2 SV=1,4,8,13,11,9,14,11,6,7,13,13,13
m.22412,Prolyl endopeptidase OS=Mus musculus GN=Prep PE=2 SV=1,3,7,12,6,12,5,4,4,6,1,2,4
m.22416,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Pan troglodytes GN=NDUFA8 PE=2 SV=3,1,0,0,0,0,0,0,0,0,0,0,0
m.22417,GTP-binding protein Rheb OS=Homo sapiens GN=RHEB PE=1 SV=1,0,0,0,0,0,0,0,1,0,0,0,0
m.11041,Pumilio homolog 1 OS=Gallus gallus GN=PUM1 PE=2 SV=1,3,1,3,0,0,0,1,0,2,2,1,1
m.22427,Alpha-N-acetylgalactosaminidase OS=Gallus gallus GN=NAGA PE=1 SV=1,6,0,7,4,0,6,3,6,4,5,3,4
m.22434,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1",2,4,5,5,5,6,2,6,1,3,3,3
m.2244,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Bos taurus GN=ARFGEF1 PE=1 SV=1,1,3,4,1,0,0,1,2,2,2,1,0
m.22447,RuvB-like 1 OS=Rattus norvegicus GN=Ruvbl1 PE=1 SV=1,2,6,1,3,1,11,10,6,13,8,5,3
m.22449,m.22449,6,8,9,4,4,6,3,4,3,8,9,8
m.22483,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g226089 PE=4 SV=1,0,0,0,0,0,0,0,0,0,5,4,4
m.2249,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",0,2,3,0,1,2,4,1,0,2,3,2
m.22508,"Alanine--glyoxylate aminotransferase 2, mitochondrial OS=Rattus norvegicus GN=Agxt2 PE=1 SV=2",0,1,0,1,0,1,1,0,0,1,2,4
m.22526,COP9 signalosome complex subunit 8 OS=Rattus norvegicus GN=Cops8 PE=2 SV=1,0,0,0,0,2,0,0,0,3,0,0,0
m.22539,C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1,7,7,12,5,7,1,6,7,5,4,6,3
m.11063,PREDICTED: uncharacterized protein LOC101235613 [Hydra vulgaris],5,12,5,4,7,5,2,0,5,8,10,8
m.22542,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Mus musculus GN=Pck2 PE=2 SV=1",249,357,737,576,547,533,363,227,226,328,360,361
m.2257,"2-oxoglutarate dehydrogenase-like, mitochondrial OS=Pongo abelii GN=OGDHL PE=2 SV=2",0,0,0,1,0,0,0,0,1,0,0,0
m.22573,Dickkopf-related protein 3 OS=Mus musculus GN=Dkk3 PE=2 SV=1,2,1,1,1,0,3,0,0,0,1,1,0
m.22580,m.22580,0,0,3,1,0,0,2,0,0,3,1,2
m.22589,Glycylpeptide N-tetradecanoyltransferase 2 OS=Homo sapiens GN=NMT2 PE=1 SV=1,0,2,1,2,3,1,1,2,0,2,4,5
m.2262,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3,0,1,0,2,0,0,0,4,0,1,0,0
m.22620,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Aldh5a1 PE=1 SV=2",0,0,0,0,0,0,2,0,1,0,0,0
m.22671,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Mus musculus GN=Tab1 PE=1 SV=2,0,0,0,0,0,0,0,0,1,0,0,0
m.22676,Lectin BRA-3 OS=Megabalanus rosa PE=1 SV=2,0,1,0,1,0,0,0,1,1,0,0,0
m.2269,COP9 signalosome complex subunit 1 OS=Xenopus laevis GN=csn1 PE=2 SV=1,1,1,6,4,2,1,2,1,1,1,1,2
m.22691,m.22691,0,0,0,3,1,1,4,3,2,1,1,2
m.227,"Phosphate carrier protein, mitochondrial OS=Mus musculus GN=Slc25a3 PE=1 SV=1",1,1,5,1,1,1,6,6,1,10,12,11
m.22707,"Dynein intermediate chain 3, ciliary OS=Heliocidaris crassispina PE=2 SV=1",5,3,0,1,2,0,1,0,0,2,0,0
m.22737,N-chimaerin OS=Homo sapiens GN=CHN1 PE=1 SV=3,0,1,3,0,0,0,0,1,0,1,1,2
m.2278,Protein CDV3 homolog OS=Xenopus tropicalis GN=cdv3 PE=2 SV=1,2,3,0,2,1,2,1,2,2,3,5,3
m.22782,Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens GN=ALDH7A1 PE=1 SV=5,2,4,4,7,10,3,20,16,10,20,12,14
m.22784,Polyglutamine-binding protein 1 OS=Mus musculus GN=Pqbp1 PE=2 SV=1,0,2,3,1,1,3,1,1,0,1,2,1
m.11100,Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1,8,9,12,13,10,9,13,17,14,24,23,25
m.22799,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,0,0,0,0,0,0,0,0,2,0,0,0
m.22806,"Elongation factor Ts, mitochondrial OS=Nematostella vectensis GN=v1g215604 PE=3 SV=1",0,0,0,0,0,0,0,0,2,0,0,0
m.22810,Eukaryotic translation initiation factor 6 OS=Xenopus laevis GN=eif6 PE=2 SV=1,20,11,8,15,8,12,13,9,10,11,8,6
m.22850,Coronin-7 OS=Homo sapiens GN=CORO7 PE=1 SV=2,0,1,2,2,3,2,4,3,0,7,6,6
m.22886,Integrin alpha-8 OS=Homo sapiens GN=ITGA8 PE=1 SV=3,0,0,0,1,0,0,0,0,2,0,0,0
m.22904,PDZ and LIM domain protein 5 OS=Mus musculus GN=Pdlim5 PE=1 SV=4,19,27,23,27,21,23,24,16,7,23,18,22
m.22921,Serine/threonine-protein kinase 10 OS=Danio rerio GN=stk10 PE=2 SV=1,4,3,4,0,2,6,6,3,3,9,9,12
m.22934,m.22934,3,3,3,1,3,4,0,3,0,0,0,0
m.22940,Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1,19,32,56,32,17,50,51,31,27,48,42,41
m.22952,Phosphoacetylglucosamine mutase OS=Homo sapiens GN=PGM3 PE=1 SV=1,0,5,5,6,8,3,9,6,1,9,8,6
m.11107,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3,46,38,38,37,36,57,37,20,19,44,40,41
m.2297,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,0,2,0,1,1,0,0,1,1,0,0,0
m.22977,Laminin subunit beta-1 OS=Homo sapiens GN=LAMB1 PE=1 SV=2,1,0,1,1,0,1,1,2,0,0,0,0
m.230,60S ribosomal protein L13 OS=Danio rerio GN=rpl13 PE=2 SV=3,22,24,24,31,29,26,27,21,5,27,25,26
m.23037,Mucin-2 (Fragment) OS=Rattus norvegicus GN=Muc2 PE=1 SV=1,14,21,17,20,10,7,25,16,22,25,23,20
m.23042,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3,2,5,15,9,5,5,11,7,11,6,9,12
m.23072,Nuclease-sensitive element-binding protein 1 OS=Xenopus laevis GN=ybx1 PE=2 SV=1,6,6,5,4,4,6,7,6,5,9,10,11
m.23079,Pre-mRNA-splicing regulator WTAP OS=Danio rerio GN=wtap PE=2 SV=1,2,1,0,0,1,1,0,1,0,4,7,5
m.2309,Predicted protein OS=Nematostella vectensis GN=v1g171979 PE=4 SV=1,1,1,1,5,0,0,1,0,0,1,0,1
m.11133,Ras-related protein Rab-13 OS=Danio rerio GN=rab13 PE=1 SV=1,0,0,1,1,0,0,1,1,0,0,0,0
m.23103,Acylamino-acid-releasing enzyme OS=Mus musculus GN=Apeh PE=2 SV=3,2,3,2,3,4,0,0,1,2,2,3,2
m.23110,Protein NipSnap homolog 3A OS=Homo sapiens GN=NIPSNAP3A PE=1 SV=2,7,7,4,4,3,2,7,5,1,11,14,15
m.23134,Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,1,0
m.23157,Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1,3,2,3,3,2,3,5,2,2,4,5,7
m.2316,Double-stranded RNA-specific editase 1 OS=Mus musculus GN=Adarb1 PE=1 SV=1,0,3,0,2,2,3,4,4,1,4,7,10
m.23218,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase OS=Mus musculus GN=Lhpp PE=2 SV=1,1,1,0,1,1,0,0,0,0,1,2,3
m.23247,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,2,3,5,8,5,3,10,6,5,11,8,8
m.11137,RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1,0,1,0,0,0,0,0,3,0,0,0,0
m.2327,Uncharacterized protein OS=Emiliania huxleyi CCMP1516 GN=EMIHUDRAFT_207150 PE=4 SV=1,3,1,3,3,2,0,1,0,0,1,3,2
m.23347,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1,1,0,0,2,1,2,1,0,1,1,2,1
m.23354,m.23354,7,5,12,13,5,9,6,6,0,0,0,2
m.23358,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,0,0,0,0,3,0,5,0,1,1,0,0
m.23371,m.23371,7,10,21,11,18,12,6,16,5,10,5,7
m.23377,Signal recognition particle subunit SRP72 OS=Homo sapiens GN=SRP72 PE=1 SV=3,2,4,4,6,3,8,7,4,0,7,6,4
m.23397,60S ribosomal protein L22 OS=Caenorhabditis elegans GN=rpl-22 PE=1 SV=3,8,11,9,4,12,11,3,2,0,14,13,12
m.2342,Glutaminyl-peptide cyclotransferase OS=Mus musculus GN=Qpct PE=1 SV=2,1,1,0,0,1,1,0,1,0,0,0,0
m.23436,Laminin subunit alpha OS=Drosophila melanogaster GN=LanA PE=1 SV=2,2,2,4,4,1,4,3,1,0,2,0,0
m.2349,Cleavage stimulation factor subunit 2 OS=Bos taurus GN=CSTF2 PE=2 SV=1,0,0,2,0,0,0,3,1,0,0,0,1
m.11143,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2,0,0,0,0,2,2,0,0,0,0,0,0
m.23534,CUB and sushi domain-containing protein 2 OS=Homo sapiens GN=CSMD2 PE=1 SV=2,5,5,5,4,5,4,8,1,0,6,7,7
m.23556,MAM and LDL-receptor class A domain-containing protein 1 OS=Homo sapiens GN=MALRD1 PE=4 SV=3,0,0,0,0,0,0,1,0,0,1,3,0
m.23573,Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1,0,1,4,0,0,0,1,0,0,0,2,0
m.23575,m.23575,5,2,0,2,0,0,1,0,7,13,4,8
m.23588,26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus GN=Psmd6 PE=1 SV=1,6,7,7,5,8,5,6,4,7,5,7,6
m.23594,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_230986 PE=4 SV=1,1,2,0,2,2,1,2,1,0,8,8,10
m.23599,Endoplasmin OS=Rattus norvegicus GN=Hsp90b1 PE=1 SV=2,152,210,138,134,258,261,144,95,177,211,210,210
m.2360,Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4,5,15,7,21,11,7,11,23,8,25,29,22
m.23602,OV-16 antigen OS=Onchocerca volvulus GN=OV16 PE=2 SV=2,26,38,11,24,27,22,14,12,4,22,20,18
m.23607,Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3,26,24,52,44,9,35,54,36,25,36,38,33
m.1005,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1,14,16,18,26,14,28,20,18,15,23,21,26
m.11149,Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1,25,39,25,26,40,31,25,20,21,25,23,20
m.23611,Tropomyosin OS=Echinococcus multilocularis PE=2 SV=1,37,31,33,27,22,29,21,17,15,27,34,30
m.23613,Nuclear transport factor 2 OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=ntf2 PE=3 SV=1,6,14,8,4,6,4,10,10,2,8,6,7
m.23617,m.23617,3,7,6,6,13,3,3,2,4,3,3,2
m.23626,Charged multivesicular body protein 5 OS=Rattus norvegicus GN=Chmp5 PE=2 SV=1,6,11,1,5,6,4,2,5,7,2,2,5
m.23629,Secretory carrier-associated membrane protein 2 OS=Homo sapiens GN=SCAMP2 PE=1 SV=2,5,4,4,3,4,2,9,4,0,16,14,14
m.23632,m.23632,15,3,15,19,6,21,17,6,6,9,9,9
m.23641,m.23641,3,0,6,6,3,5,3,4,1,2,3,2
m.23661,Counting factor associated protein D OS=Dictyostelium discoideum GN=cfaD PE=1 SV=1,7,6,7,4,2,2,10,6,3,7,6,9
m.23671,m.23671,23,31,34,9,38,47,8,1,6,10,6,4
m.23676,Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3,2,2,3,4,4,3,3,2,0,2,0,1
m.11152,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,0,3,0,2,2,0,6,5,2,5,3,5
m.23681,Ras-related protein Rap-2b OS=Rattus norvegicus GN=Rap2b PE=2 SV=1,0,0,0,0,0,0,0,0,0,2,1,0
m.23695,Protein transport protein Sec24A OS=Homo sapiens GN=SEC24A PE=1 SV=2,0,0,7,1,0,4,0,0,1,1,0,0
m.2370,Growth factor receptor-bound protein 2 OS=Mus musculus GN=Grb2 PE=1 SV=1,2,0,0,0,0,0,2,0,2,1,1,1
m.23708,Zinc finger RNA-binding protein OS=Rattus norvegicus GN=Zfr PE=1 SV=2,0,0,4,2,1,2,1,2,0,3,2,3
m.23716,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Mus musculus GN=Cox5b PE=1 SV=1",5,5,6,8,7,7,12,7,10,12,11,12
m.23728,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,2,5,3,5,6,3,2,3,0,3,4,4
m.23737,Aminoacylase-1 OS=Mus musculus GN=Acy1 PE=1 SV=1,24,27,18,19,11,12,21,19,13,24,27,28
m.23739,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Cricetulus griseus GN=GBF1 PE=2 SV=1,0,0,1,0,0,0,0,0,0,0,0,0
m.23752,NAD-dependent protein deacetylase sirtuin-2 OS=Homo sapiens GN=SIRT2 PE=1 SV=2,0,0,1,0,1,0,0,0,0,1,2,1
m.23774,Synaptogyrin-2 OS=Bos taurus GN=SYNGR2 PE=2 SV=1,2,3,6,2,3,7,5,0,1,7,8,5
m.11158,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3,5,4,0,3,2,1,0,0,4,0,0,0
m.23776,m.23776,1,0,0,1,0,0,1,1,0,0,0,0
m.23795,ADP-ribosylation factor-like protein 3 OS=Taeniopygia guttata GN=ARL3 PE=2 SV=1,1,3,1,2,1,1,3,1,0,6,4,6
m.23799,A disintegrin and metalloproteinase with thrombospondin motifs 6 OS=Homo sapiens GN=ADAMTS6 PE=2 SV=2,0,0,1,0,1,1,2,0,0,0,1,0
m.23814,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Cricetulus griseus GN=AIMP2 PE=2 SV=1,3,3,2,5,4,2,5,3,0,6,6,3
m.23817,ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens GN=GGA1 PE=1 SV=1,2,4,7,7,3,3,7,7,4,5,4,4
m.23821,Chymotrypsinogen 2 OS=Canis familiaris GN=CTRB1 PE=2 SV=1,127,192,163,167,175,172,145,87,132,123,125,127
m.23856,Laminin subunit gamma-1 OS=Danio rerio GN=lamc1 PE=2 SV=2,2,2,0,0,2,1,1,2,1,0,0,0
m.23859,Protein NipSnap homolog 3A OS=Pongo abelii GN=NIPSNAP3A PE=2 SV=1,0,3,1,1,3,0,2,0,0,3,1,1
m.23867,"Acetyl-CoA acetyltransferase, mitochondrial OS=Danio rerio GN=acat1 PE=2 SV=1",0,8,1,5,4,0,5,16,2,6,1,0
m.23918,Laminin subunit alpha-1 OS=Mus musculus GN=Lama1 PE=1 SV=1,1,4,6,2,1,3,3,2,0,3,5,4
m.23926,Protein LSM14 homolog A OS=Homo sapiens GN=LSM14A PE=1 SV=3,1,5,3,5,2,6,5,2,4,7,5,7
m.23962,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens GN=CPS1 PE=1 SV=2",0,0,0,4,0,1,2,3,0,4,4,6
m.23963,Oncoprotein-induced transcript 3 protein OS=Mus musculus GN=Oit3 PE=2 SV=2,0,3,0,2,1,1,3,3,8,0,0,0
m.2398,Peptidase M20 domain-containing protein 2 OS=Mus musculus GN=Pm20d2 PE=2 SV=1,0,0,0,0,0,0,0,0,0,0,2,0
m.23986,Predicted protein OS=Nematostella vectensis GN=v1g240016 PE=4 SV=1,0,0,0,0,0,0,0,0,3,0,0,0
m.23997,Galactose-1-phosphate uridylyltransferase OS=Mus musculus GN=Galt PE=2 SV=3,7,7,8,6,6,6,6,4,4,5,2,4
m.24,Protein C19orf12 homolog OS=Bos taurus PE=2 SV=1,1,5,7,1,2,6,1,0,2,3,2,3
m.24043,WASH complex subunit 7 OS=Homo sapiens GN=KIAA1033 PE=1 SV=2,0,0,2,1,0,0,0,0,0,1,1,2
m.24046,Predicted protein OS=Nematostella vectensis GN=v1g248223 PE=4 SV=1,0,0,0,0,1,0,0,0,0,1,0,1
m.11180,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,13,14,6,6,6,7,4,4,0,13,13,17
m.24076,m.24076,0,0,0,1,0,0,0,0,0,0,0,0
m.24081,Proteasome subunit alpha type-6 OS=Mus musculus GN=Psma6 PE=1 SV=1,0,3,1,2,4,1,3,7,4,4,5,2
m.24092,Neudesin OS=Bos taurus GN=NENF PE=2 SV=1,7,5,8,4,5,3,2,4,1,2,0,1
m.241,Carbonic anhydrase 1 OS=Gorilla gorilla gorilla GN=CA1 PE=3 SV=3,0,0,0,0,0,0,2,2,0,5,8,3
m.24113,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase OS=Danio rerio GN=dhdh PE=2 SV=2",1,8,2,2,5,0,1,6,2,4,2,3
m.2412,ADP-ribosylation factor GTPase-activating protein 3 OS=Macaca fascicularis GN=ARFGAP3 PE=2 SV=1,4,5,4,6,4,3,0,6,0,2,2,3
m.2413,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Bos taurus GN=FNTA PE=2 SV=2,0,6,0,0,1,1,0,0,1,1,0,0
m.24170,Phosphatidylinositol transfer protein alpha isoform OS=Bos taurus GN=PITPNA PE=1 SV=3,4,5,4,4,2,0,4,2,3,4,3,5
m.24183,WD repeat-containing protein 54 OS=Mus musculus GN=Wdr54 PE=2 SV=1,0,1,0,0,0,0,1,1,0,0,0,0
m.11249,Transmembrane protease serine 2 OS=Homo sapiens GN=TMPRSS2 PE=1 SV=3,0,1,0,2,0,0,0,3,2,1,3,3
m.24205,CAP-Gly domain-containing linker protein 1 OS=Gallus gallus GN=CLIP1 PE=2 SV=1,1,2,2,1,0,0,0,0,0,0,0,0
m.24219,Allene oxide synthase-lipoxygenase protein OS=Plexaura homomalla PE=1 SV=1,1,7,1,3,5,0,9,7,3,14,8,12
m.24221,Sarcoplasmic reticulum histidine-rich calcium-binding protein OS=Oryctolagus cuniculus GN=HRC PE=1 SV=1,7,3,9,2,3,3,0,3,0,4,3,3
m.24224,Phospholipase A-2-activating protein OS=Xenopus laevis GN=plaa PE=2 SV=2,1,2,2,1,2,3,0,0,2,0,0,0
m.2423,Numb-like protein OS=Mus musculus GN=Numbl PE=1 SV=3,1,3,0,2,3,0,0,0,4,0,0,0
m.24247,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Mus musculus GN=Snrnp200 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,1,0
m.2425,Uncharacterized protein (Fragment) OS=Strongylocentrotus purpuratus PE=4 SV=1,1,0,0,1,1,0,0,1,0,2,0,1
m.24266,Predicted protein OS=Nematostella vectensis GN=v1g210155 PE=4 SV=1,0,0,0,0,0,0,4,0,0,2,0,0
m.24267,CD2 antigen cytoplasmic tail-binding protein 2 OS=Mus musculus GN=Cd2bp2 PE=1 SV=1,0,1,0,0,0,0,0,0,3,0,0,0
m.24290,Probable inactive purple acid phosphatase 2 OS=Arabidopsis thaliana GN=PAP2 PE=2 SV=1,2,0,0,0,0,0,0,0,0,0,0,0
m.1126,60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3,2,6,5,2,4,1,4,5,0,6,4,8
m.24308,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Macaca fascicularis GN=IDH3B PE=2 SV=2",0,0,1,1,2,0,0,0,0,0,0,0
m.24316,Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3,2,0,2,1,0,1,0,3,0,4,3,4
m.2433,Nuclear receptor coactivator 5 OS=Mus musculus GN=Ncoa5 PE=1 SV=1,0,1,10,0,1,4,3,5,0,5,6,6
m.24347,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Caenorhabditis elegans GN=F23B12.5 PE=1 SV=1",0,0,0,0,0,0,0,0,1,0,0,0
m.24351,Amidase OS=Sulfolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) GN=SSO2122 PE=1 SV=1,0,4,0,3,1,2,2,4,3,2,0,2
m.24356,Zinc metalloproteinase nas-15 OS=Caenorhabditis elegans GN=nas-15 PE=2 SV=2,1,0,4,8,0,4,5,2,2,2,0,0
m.24423,Sialate O-acetylesterase OS=Pongo abelii GN=SIAE PE=2 SV=1,55,20,56,33,20,60,1,12,10,3,5,4
m.24493,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,6,0,5,11,1,6,5,0,1,6,6,6
m.245,Myeloid differentiation primary response protein MyD88-A OS=Xenopus laevis GN=myd88-a PE=2 SV=1,0,0,1,1,1,0,2,0,1,3,1,2
m.11265,Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3,12,11,27,18,6,25,11,6,2,16,15,17
m.24596,m.24596,0,0,15,30,0,3,0,3,0,2,1,0
m.24609,Nucleoporin Nup37 OS=Homo sapiens GN=NUP37 PE=1 SV=1,3,2,0,1,0,2,0,0,1,0,0,0
m.24620,Ricin B lectin (Precursor) OS=Leptonema illini DSM 21528 GN=Lepil_4202 PE=4 SV=1,14,6,6,14,5,6,9,7,12,6,11,8
m.24660,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",0,0,1,0,2,0,3,1,0,3,1,0
m.247,Upstream stimulatory factor 2 OS=Rattus norvegicus GN=Usf2 PE=1 SV=2,1,3,7,5,2,9,0,8,1,0,0,0
m.24706,COP9 signalosome complex subunit 7b OS=Homo sapiens GN=COPS7B PE=1 SV=1,0,1,0,0,0,0,0,1,0,0,0,0
m.2473,Phosphonopyruvate decarboxylase OS=Streptomyces hygroscopicus GN=bcpC PE=3 SV=2,0,4,3,0,2,3,2,2,1,3,4,4
m.24916,"2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens GN=DECR1 PE=1 SV=1",0,0,0,0,0,4,1,0,0,0,2,1
m.24926,Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1,4,2,1,25,0,7,4,3,2,7,5,5
m.24936,Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4,7,13,16,14,7,9,14,4,18,5,5,5
m.11298,Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2,0,0,0,0,0,0,3,1,1,0,0,0
m.24947,Prohibitin-2 OS=Rattus norvegicus GN=Phb2 PE=1 SV=1,6,7,14,18,10,15,14,6,7,16,18,18
m.24948,m.24948,4,5,6,10,1,5,7,12,0,12,10,7
m.24952,"PREDICTED: uncharacterized protein LOC100207559, partial [Hydra vulgaris]",0,0,1,1,0,0,1,1,0,0,0,1
m.24964,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5,3,6,14,19,19,7,26,20,9,25,22,21
m.24975,Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2,6,11,10,0,16,3,5,6,2,16,16,15
m.24984,Renalase OS=Homo sapiens GN=RNLS PE=1 SV=1,2,1,0,1,0,0,0,0,1,0,0,0
m.25,Soma ferritin OS=Lymnaea stagnalis PE=2 SV=2,1,0,0,0,0,0,0,0,0,0,0,0
m.2503,Beta-2-syntrophin OS=Homo sapiens GN=SNTB2 PE=1 SV=1,0,0,0,0,1,0,0,3,0,0,0,0
m.25033,WD repeat-containing protein 61 OS=Danio rerio GN=wdr61 PE=2 SV=1,1,2,2,3,1,1,2,3,1,3,1,2
